name,code
BANCO DO BRASIL,001
BASA,003
BNB,004
NATIXIS BRASIL S.A. - BANCO MòLTIPLO,014
BNY MELLON S.A.,017
AZTECA DO BRASIL S.A.,019
BANESTES,021
BANCO ALFA,025
BANCO SANTANDER BRASIL S.A,033
BEM,036
BANCO DO ESTADO DO PARÁ S.A,037
CARGILL S.A,040
BANRISUL,041
OPPORTUNITY S.A.,045
BANESE,047
HIPERCARD BANCO MULTIPLO S.A,062
IBI,063
BRACCE S.A.,065
MORGAN STANLEY DEAN WITTER S.A,066
BPN BRASIL BANCO MULTIPLO S.A,069
BRB,070
RURAL MAIS S.A,072
J. SAFRA S.A.,074
CR2 S.A,075
KDB DO BRASIL S.A,076
INTERMEDIUM S.A.,077
BES INVESTIMENTO DO BRASIL SA - BANCO DE INVESTIM.,078
ORIGINAL DO AGRONEGOCIO S.A.,079
BBN BANCO BRASILEIRO DE NEGOCIOS S.A,081
TOPAZIO S.A.,082
BANCO DA CHINA BRASIL S.A.,083
CC UNIPRIME NORTE DO PARANA,084
CECREDI,085
UNICRED CENTRAL SANTA CATARINA,087
RANDON S.A.,088
COOPERATIVA DE CREDITO RURAL DA REGIAO DA MOGIANA,089
COOPERATIVA CENTRAL DE CREDITO DO ESTADO DE SP,090
UNICRED CENTRAL RS - CENTRAL DE COOP ECON CRED MUT,091
"BRICKELL S A CREDITO, FINANCIAMENTO E INVESTIMENTO",092
PETRA S.A.,094
BM&F DE SERV. DE LIQUIDACAO E CUSTODIA S.A,096
COOPERATIVA CENTRAL DE CREDITO NOROESTE BRASILEIRO,097
CREDIALIANCA COOPERATIVA DE CREDITO RURAL,098
UNIPRIME CENTRAL - CENTRAL INT DE COOP DE CRED LTD,099
CAIXA ECON. FEDERAL,104
BBM S.A,107
CC UNICRED BRASIL CENTRAL,112
CECOOPES-CENTRAL DAS COOP DE ECON E CRED MUTUO DO,114
WESTERN UNION DO BRASIL S.A.,119
RODOBENS S.A,120
GERADOR S.A.,121
BERJ S.A,122
WOORI BANK DO BRASIL S.A,124
BRASIL PLURAL S.A. BANCO MULTIPLO,125
CRESOL CONFEDERAÇÃO,133
Itaú-BBA,184
STONE PAGAMENTOS S.A,197
BTG PACTUAL S.A.,208
ORIGINAL S.A.,212
ARBI S.A.,213
DIBENS S.A.,214
JOHN DEERE S.A.,217
BONSUCESSO S.A.,218
CREDIT AGRICOLE BRASIL S.A.,222
FIBRA,224
Zoop Instituição de Pagamentos,224
BRASCAN S.A.,225
UNICARD BANCO MULTIPLO S.A,230
CIFRA S.A.,233
BRADESCO,237
Banco Classico S.A,241
MAXIMA S.A.,243
ABC-BRASIL S.A.,246
BOA VISTA INTERATLANTICO S.A,248
Investcred Unibanco,249
BCV - BANCO DE CREDITO E VAREJO S.A,250
PARANA BANCO S.A.,254
Nu Pagamentos S.A.,260
CACIQUE S.A.,263
FATOR S.A.,265
CEDULA S.A.,266
PAGBANK INTERNET S.A,290
BANCO DE LA NACION ARGENTINA,300
BMG S.A.,318
BIC BANCO,320
C6 Bank,336
ITAÚ,341
SOCIETE GENERALE BRASIL S.A,366
BANCO WESTLB DO BRASIL,370
J.P. MORGAN S.A.,376
MERCANTIL DO BRASIL,389
BMC S.A.,394
HSBC,399
Cora CSD S.A.,403
CAPITAL S.A.,412
SAFRA,422
RURAL,453
BANCO TOKYO MITSUBISH UFJ BRASIL S.A,456
SUMITOMO MITSUI BRASILEIRO S.A.,464
CAIXA GERAL - BRASIL S.A.,473
Citibank N.A.,477
DEUTSCHE BANK S. A. - BANCO ALEMAO,487
JPMORGAN CHASE BANK,488
ING BANK N.V.,492
BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,494
BANCO DE LA PROVINCIA DE BUENOS AIRES,495
CREDIT SUISSE (BRASIL) S.A.,505
Luso Brasileiro,600
INDUSTRIAL DO BRASIL S. A.,604
VR S.A.,610
PAULISTA,611
GUANABARA S.A.,612
PECUNIA S.A.,613
PANAMERICANO,623
FICSA S.A.,626
INTERCAP S.A.,630
RENDIMENTO S.A.,633
Triangulo,634
SOFISA S.A.,637
PINE S.A.,643
ITAU HOLDING FINANCEIRA S.A,652
INDUSVAL S.A.,653
A.J. RENNER S.A.,654
VOTORANTIM,655
DAYCOVAL,707
BANIF-BANCO INTERNACIONAL DO FUNCHAL (BRASIL) S.A,719
POTTENCIAL S.A.,735
BGN S.A.,739
BARCLAYS S.A.,740
RIBEIRÃO PRETO,741
SEMEAR S.A.,743
CITIBANK,745
MODAL S.A.,746
RABOBANK INTERNATIONAL BRASIL S.A.,747
SICREDI,748
SIMPLES S.A.,749
SCOTIABANK BRASIL S.A BANCO MULTIPLO,751
BNP PARIBAS BRASIL S.A,752
NBC BANK BRASIL S.A.- BANCO MULTIPLO,753
BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.,755
BANCOOB,756
BANCOOB,756
KEB DO BRASIL S.A.,757
